s0,s1,a0,terminal_flag
-0.7,0.5,-38.0,not done
-0.7,0.9,-35.0,not done
-0.7,1.7,-35.0,not done
-0.7,2.0,-34.0,not done
-0.7,2.5,-36.0,not done
-0.7,6.5,-31.0,not done
-0.6,3.4,-29.0,not done
-0.6,0.8,-31.0,not done
-0.6,3.5,-28.0,not done
-0.6,2.4,-29.0,not done
-0.5,3.2,-26.0,not done
-0.5,2.2,-24.0,not done
-0.6,0.9,-29.0,not done
-0.5,2.8,-26.0,not done
-0.6,-1.3,-33.0,not done
-0.6,-3.0,-36.0,not done
-0.6,2.9,-29.0,not done
-0.6,0.7,-30.0,not done
-0.5,1.5,-27.0,not done
-0.5,2.4,-27.0,not done
-0.6,0.7,-33.0,not done
-0.6,2.8,-29.0,not done
-0.6,0.5,-34.0,not done
-0.6,1.3,-30.0,not done
-0.5,1.8,-27.0,not done
-0.6,-0.2,-31.0,not done
-0.5,2.0,-26.0,not done
-0.6,0.6,-31.0,not done
-0.6,1.1,-31.0,not done
-0.5,2.8,-24.0,not done
-0.5,1.7,-25.0,not done
-0.5,1.9,-23.0,not done
-0.5,0.9,-23.0,not done
-0.5,-1.8,-26.0,not done
-0.5,-0.2,-25.0,not done
-0.5,-0.7,-27.0,not done
-0.5,-3.1,-30.0,not done
-0.5,-2.8,-32.0,not done
-0.5,0.1,-29.0,not done
-0.6,-3.4,-34.0,not done
-0.7,-4.2,-40.0,not done
-0.7,0.8,-35.0,not done
-0.6,4.8,-26.0,not done
-0.5,3.8,-26.0,not done
-0.5,4.0,-25.0,not done
-0.5,3.6,-24.0,not done
-0.4,4.6,-19.0,not done
-0.4,3.8,-19.0,not done
-0.4,1.2,-20.0,not done
-0.4,0.9,-20.0,not done
-0.4,-1.9,-24.0,not done
-0.4,-1.3,-23.0,not done
-0.4,-3.4,-26.0,not done
-0.4,-5.8,-30.0,not done
-0.4,-3.0,-26.0,not done
-0.4,-0.7,-22.0,not done
-0.4,-2.2,-23.0,not done
-0.4,-5.0,-27.0,not done
-0.4,-2.0,-25.0,not done
-0.4,0.4,-22.0,not done
-0.4,-1.3,-24.0,not done
-0.3,-1.6,-19.0,not done
-0.2,-5.2,-18.0,not done
-0.2,-11.3,-20.0,not done
-0.2,-14.6,-27.0,not done
-0.3,-14.8,-31.0,not done
-0.3,-15.8,-32.0,not done
-0.4,-18.5,-39.0,not done
-0.4,-15.4,-38.0,not done
-0.4,-11.7,-33.0,not done
-0.4,-16.8,-39.0,not done
-0.5,-15.8,-40.0,not done
-0.5,-14.9,-40.0,not done
-0.5,-17.1,-44.0,not done
-0.5,-15.9,-44.0,not done
-0.5,-15.5,-43.0,not done
-0.5,-17.6,-47.0,not done
-0.6,-15.4,-47.0,not done
-0.7,-13.0,-48.0,not done
-0.7,-12.6,-49.0,not done
-0.7,-11.7,-50.0,not done
-0.8,-12.4,-54.0,not done
-0.7,-11.3,-51.0,not done
-0.7,-6.2,-46.0,not done
-0.8,0.3,-45.0,not done
-0.9,5.9,-42.0,not done
-0.9,7.0,-41.0,not done
-0.9,13.1,-35.0,not done
-0.8,17.4,-28.0,not done
-0.8,21.1,-21.0,not done
-0.6,26.3,-9.0,not done
-0.5,25.8,-2.0,not done
-0.6,11.0,-23.0,not done
-0.8,7.2,-37.0,not done
-0.8,14.9,-31.0,not done
-0.6,12.4,-22.0,not done
-0.6,18.3,-15.0,not done
-0.5,23.3,-3.0,not done
-0.5,16.6,-10.0,not done
-0.5,17.0,-9.0,not done
-0.4,13.8,-8.0,not done
-0.4,11.3,-12.0,not done
-0.3,10.8,-7.0,not done
-0.3,7.1,-9.0,not done
-0.3,5.8,-12.0,not done
-0.3,5.2,-10.0,not done
-0.3,3.8,-11.0,not done
-0.3,2.0,-14.0,not done
-0.3,1.7,-15.0,not done
-0.4,0.9,-18.0,not done
-0.4,5.0,-15.0,not done
-0.4,6.3,-13.0,not done
-0.4,5.4,-14.0,not done
-0.4,6.0,-15.0,not done
-0.4,8.2,-12.0,not done
-0.4,7.1,-13.0,not done
-0.4,6.3,-13.0,not done
-0.4,6.5,-13.0,not done
-0.4,6.1,-13.0,not done
-0.4,6.1,-13.0,not done
-0.3,7.1,-10.0,not done
-0.3,13.8,0.0,not done
-0.1,19.5,14.0,not done
0.0,15.6,16.0,not done
0.1,9.9,15.0,not done
0.1,6.5,13.0,not done
0.1,4.3,12.0,not done
0.2,1.1,10.0,not done
0.2,-2.6,6.0,not done
0.1,-4.5,2.0,not done
0.1,-6.1,-1.0,not done
0.0,-11.1,-10.0,not done
-0.0,-9.1,-10.0,not done
-0.1,-5.1,-8.0,not done
-0.0,-2.9,-5.0,not done
-0.0,-0.6,-1.0,not done
-0.0,-0.0,0.0,not done
-0.0,-0.4,0.0,not done
-0.0,1.8,1.0,not done
0.0,-0.5,0.0,not done
0.0,-1.5,1.0,not done
0.1,-0.9,3.0,not done
0.1,-0.6,5.0,not done
0.1,-2.4,3.0,not done
0.1,-2.1,4.0,not done
0.1,-1.7,5.0,not done
0.1,-0.8,6.0,not done
0.1,-0.7,7.0,not done
0.2,-0.3,8.0,not done
0.2,-0.2,9.0,not done
0.2,-0.3,10.0,not done
0.2,0.1,11.0,not done
0.2,-0.0,12.0,not done
0.2,-0.2,12.0,not done
0.2,0.1,13.0,not done
0.2,-0.0,13.0,not done
0.3,0.1,13.0,not done
0.3,-0.1,14.0,not done
0.3,-0.4,14.0,not done
0.3,0.0,15.0,not done
0.3,0.3,15.0,not done
0.3,0.7,17.0,not done
0.3,2.1,19.0,not done
0.4,3.1,22.0,not done
0.4,1.0,24.0,not done
0.5,-1.0,26.0,not done
0.5,-4.4,23.0,not done
0.5,-5.3,22.0,not done
0.5,-6.1,21.0,not done
0.5,-7.1,18.0,not done
0.4,-8.8,14.0,not done
0.4,-9.9,11.0,not done
0.3,-11.2,7.0,not done
0.3,-11.0,4.0,not done
0.3,-7.4,7.0,not done
0.2,-4.8,8.0,not done
0.2,-3.0,10.0,not done
0.3,-0.3,14.0,not done
0.3,1.5,17.0,not done
0.4,1.0,20.0,not done
0.4,-1.0,20.0,not done
0.4,-3.0,19.0,not done
0.4,-5.5,15.0,not done
0.3,-7.6,11.0,not done
0.3,-5.9,10.0,not done
0.3,-2.7,13.0,not done
0.3,-2.6,14.0,not done
0.3,-2.6,16.0,not done
0.4,-2.7,18.0,not done
0.4,-2.3,19.0,not done
0.4,-2.6,20.0,not done
0.4,-6.5,15.0,not done
0.4,-9.7,12.0,not done
0.4,-8.2,11.0,not done
0.3,-3.8,13.0,not done
0.3,-4.0,12.0,not done
0.3,-3.4,13.0,not done
0.3,-3.2,15.0,not done
0.4,-2.2,18.0,not done
0.4,-3.4,17.0,not done
0.3,-6.8,12.0,not done
0.3,-6.9,11.0,not done
0.3,-5.7,12.0,not done
0.3,-1.7,16.0,not done
0.3,-0.1,18.0,not done
0.4,1.0,21.0,not done
0.4,-1.0,21.0,not done
0.4,-5.0,17.0,not done
0.4,-6.2,14.0,not done
0.4,-5.1,14.0,not done
0.4,-2.8,16.0,not done
0.4,-2.7,16.0,not done
0.4,-0.3,19.0,not done
0.4,0.2,22.0,not done
0.4,-2.1,20.0,not done
0.4,-5.2,18.0,not done
0.4,-6.7,15.0,not done
0.4,-4.8,17.0,not done
0.4,-3.5,17.0,not done
0.4,-1.6,20.0,not done
0.4,-2.4,21.0,not done
0.4,-3.7,19.0,not done
0.4,-6.3,16.0,not done
0.4,-6.4,15.0,not done
0.4,-5.5,16.0,not done
0.4,-3.0,18.0,not done
0.4,-2.0,21.0,not done
0.4,-5.7,17.0,not done
0.4,-6.4,15.0,not done
0.4,-4.7,15.0,not done
0.4,-2.7,18.0,not done
0.4,-4.5,18.0,not done
0.4,-2.8,21.0,not done
0.5,-0.5,24.0,not done
0.5,-4.4,21.0,not done
0.5,-8.9,16.0,not done
0.4,-5.7,17.0,not done
0.4,-2.3,20.0,not done
0.4,-4.5,19.0,not done
0.5,-4.6,20.0,not done
0.5,-5.6,20.0,not done
0.4,-7.7,16.0,not done
0.4,-7.2,16.0,not done
0.4,-4.4,18.0,not done
0.4,-3.3,21.0,not done
0.5,-5.4,20.0,not done
0.4,-9.4,14.0,not done
0.4,-8.8,13.0,not done
0.4,-6.1,14.0,not done
0.4,-6.0,15.0,not done
0.4,-3.9,18.0,not done
0.5,-4.5,20.0,not done
0.5,-7.5,17.0,not done
0.5,-8.4,17.0,not done
0.5,-7.4,17.0,not done
0.5,-7.8,17.0,not done
0.4,-8.6,15.0,not done
0.4,-7.7,17.0,not done
0.4,-10.3,13.0,not done
0.4,-11.8,11.0,not done
0.4,-12.3,10.0,not done
0.4,-12.3,10.0,not done
0.4,-12.4,10.0,not done
0.4,-13.4,9.0,not done
0.4,-14.2,7.0,not done
0.4,-15.9,3.0,not done
0.3,-15.4,1.0,not done
0.3,-14.1,1.0,not done
0.3,-13.7,1.0,not done
0.3,-14.8,0.0,not done
0.3,-15.6,-1.0,not done
0.2,-14.8,-1.0,not done
0.2,-13.7,-1.0,not done
0.2,-13.1,0.0,not done
0.2,-13.9,-2.0,not done
0.2,-15.4,-5.0,not done
0.1,-17.0,-9.0,not done
0.1,-17.5,-13.0,not done
0.0,-17.5,-16.0,not done
-0.0,-17.0,-19.0,not done
-0.1,-16.9,-22.0,not done
-0.1,-16.9,-24.0,not done
-0.2,-16.9,-27.0,not done
-0.3,-17.2,-31.0,not done
-0.3,-17.5,-34.0,not done
-0.4,-18.3,-38.0,not done
-0.4,-19.8,-43.0,not done
-0.6,-15.4,-48.0,not done
-0.8,-15.3,-57.0,not done
-0.9,-0.5,-47.0,not done
